 * Running on http://0.0.0.0:51945/ (Press CTRL+C to quit)
64.229.97.140 - - [14/Feb/2018 03:55:43] "GET /ACAT_BTC_kucoin/ HTTP/1.1" 200 -
64.229.97.140 - - [14/Feb/2018 03:55:44] "GET /static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 -
64.229.97.140 - - [14/Feb/2018 03:57:23] "GET / HTTP/1.1" 200 -
64.229.97.140 - - [14/Feb/2018 03:57:23] "GET /static/css/sqlbrowse.css HTTP/1.1" 200 -
64.229.97.140 - - [14/Feb/2018 03:57:23] "GET /static/js/bootstrap.min.js HTTP/1.1" 200 -
64.229.97.140 - - [14/Feb/2018 03:57:23] "GET /static/css/syntax-highlight.css HTTP/1.1" 200 -
64.229.97.140 - - [14/Feb/2018 03:57:23] "GET /static/js/jquery-1.11.0.min.js HTTP/1.1" 200 -
64.229.97.140 - - [14/Feb/2018 03:57:23] "GET /static/css/bootstrap.min.css HTTP/1.1" 200 -
64.229.97.140 - - [14/Feb/2018 03:57:23] "GET /favicon.ico HTTP/1.1" 301 -
64.229.97.140 - - [14/Feb/2018 03:57:23] "GET /favicon.ico/ HTTP/1.1" 404 -
64.229.97.140 - - [14/Feb/2018 03:57:23] "GET /favicon.ico/ HTTP/1.1" 404 -
64.229.97.140 - - [14/Feb/2018 03:57:29] "GET /ACE_BTC_okex/ HTTP/1.1" 200 -
64.229.97.140 - - [14/Feb/2018 03:57:29] "GET /static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 -
64.229.97.140 - - [14/Feb/2018 03:57:29] "GET /static/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 -
64.229.97.140 - - [14/Feb/2018 03:57:32] "GET / HTTP/1.1" 200 -
64.229.97.140 - - [14/Feb/2018 03:57:42] "GET /CBT_ETH_okex/ HTTP/1.1" 200 -
64.229.97.140 - - [14/Feb/2018 03:57:42] "GET /static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 -
64.229.97.140 - - [14/Feb/2018 03:57:44] "GET /CBT_ETH_okex/content/ HTTP/1.1" 200 -
64.229.97.140 - - [14/Feb/2018 03:59:58] "GET / HTTP/1.1" 200 -
64.229.97.140 - - [14/Feb/2018 04:00:00] "GET /1ST_BTC_okex/ HTTP/1.1" 200 -
